date,product_id,ranking_type,rank,member_name,volume,change
2025-09-08,IF,成交量排名,1,中信期货(代客),28488,-4475
2025-09-08,IF,成交量排名,10,国投期货(代客),3779,-947
2025-09-08,IF,成交量排名,11,广发期货(代客),3773,-206
2025-09-08,IF,成交量排名,12,华泰期货(代客),3655,354
2025-09-08,IF,成交量排名,13,南华期货(代客),2691,-729
2025-09-08,IF,成交量排名,14,光大期货(代客),2596,-301
2025-09-08,IF,成交量排名,15,瑞达期货(代客),2070,-187
2025-09-08,IF,成交量排名,16,永安期货(代客),1924,-234
2025-09-08,IF,成交量排名,17,申银万国(代客),1918,406
2025-09-08,IF,成交量排名,18,浙商期货(代客),1675,-1143
2025-09-08,IF,成交量排名,19,招商期货(代客),1671,-605
2025-09-08,IF,成交量排名,2,国泰君安(代客),23959,-2856
2025-09-08,IF,成交量排名,20,方正中期(代客),1618,-67
2025-09-08,IF,成交量排名,3,海通期货(代客),13352,-1176
2025-09-08,IF,成交量排名,4,东证期货(代客),10791,-433
2025-09-08,IF,成交量排名,5,国信期货(代客),7126,-996
2025-09-08,IF,成交量排名,6,银河期货(代客),5615,-855
2025-09-08,IF,成交量排名,7,华闻期货(代客),4979,-21
2025-09-08,IF,成交量排名,8,中泰期货(代客),4177,-388
2025-09-08,IF,成交量排名,9,中信建投(代客),4072,-1311
2025-09-08,IF,成交量排名,合计,,129929,-16170
2025-09-08,IF,持买单量排名,1,中信期货(代客),3333,690
2025-09-08,IF,持买单量排名,10,光大期货(代客),164,42
2025-09-08,IF,持买单量排名,11,国投期货(代客),161,48
2025-09-08,IF,持买单量排名,12,招商期货(代客),161,-35
2025-09-08,IF,持买单量排名,13,瑞银期货(代客),149,131
2025-09-08,IF,持买单量排名,14,五矿期货(代客),137,-74
2025-09-08,IF,持买单量排名,15,宝城期货(代客),136,-19
2025-09-08,IF,持买单量排名,16,方正中期(代客),133,-65
2025-09-08,IF,持买单量排名,17,中信建投(代客),127,-51
2025-09-08,IF,持买单量排名,18,南华期货(代客),125,38
2025-09-08,IF,持买单量排名,19,华闻期货(代客),125,14
2025-09-08,IF,持买单量排名,2,国泰君安(代客),2079,198
2025-09-08,IF,持买单量排名,20,中泰期货(代客),114,-13
2025-09-08,IF,持买单量排名,3,海通期货(代客),2037,570
2025-09-08,IF,持买单量排名,4,东证期货(代客),1841,-228
2025-09-08,IF,持买单量排名,5,国信期货(代客),550,162
2025-09-08,IF,持买单量排名,6,广发期货(代客),531,245
2025-09-08,IF,持买单量排名,7,一德期货(代客),519,503
2025-09-08,IF,持买单量排名,8,银河期货(代客),191,-24
2025-09-08,IF,持买单量排名,9,华泰期货(代客),186,-187
2025-09-08,IF,持买单量排名,合计,,12799,1945
2025-09-08,IF,持卖单量排名,1,中信期货(代客),12765,-968
2025-09-08,IF,持卖单量排名,10,广发期货(代客),1326,-353
2025-09-08,IF,持卖单量排名,11,一德期货(代客),1287,251
2025-09-08,IF,持卖单量排名,12,华泰期货(代客),1138,-267
2025-09-08,IF,持卖单量排名,13,浙商期货(代客),1103,196
2025-09-08,IF,持卖单量排名,14,五矿期货(代客),982,36
2025-09-08,IF,持卖单量排名,15,大地期货(代客),965,-35
2025-09-08,IF,持卖单量排名,16,宝城期货(代客),816,-351
2025-09-08,IF,持卖单量排名,17,中信建投(代客),805,-525
2025-09-08,IF,持卖单量排名,18,东兴期货(代客),797,-51
2025-09-08,IF,持卖单量排名,19,光大期货(代客),785,63
2025-09-08,IF,持卖单量排名,2,国泰君安(代客),10554,-1182
2025-09-08,IF,持卖单量排名,20,招商期货(代客),784,-197
2025-09-08,IF,持卖单量排名,3,海通期货(代客),7197,724
2025-09-08,IF,持卖单量排名,4,国信期货(代客),4857,470
2025-09-08,IF,持卖单量排名,5,东证期货(代客),3781,-262
2025-09-08,IF,持卖单量排名,6,华闻期货(代客),3317,-273
2025-09-08,IF,持卖单量排名,7,银河期货(代客),1896,-1030
2025-09-08,IF,持卖单量排名,8,南华期货(代客),1749,-32
2025-09-08,IF,持卖单量排名,9,中泰期货(代客),1697,155
2025-09-08,IF,持卖单量排名,合计,,58601,-3631
2025-09-09,IF,成交量排名,1,中信期货(代客),24444,-4044
2025-09-09,IF,成交量排名,10,广发期货(代客),3357,-416
2025-09-09,IF,成交量排名,11,国投期货(代客),3304,-475
2025-09-09,IF,成交量排名,12,华泰期货(代客),3216,-439
2025-09-09,IF,成交量排名,13,光大期货(代客),2146,-450
2025-09-09,IF,成交量排名,14,瑞达期货(代客),1950,-120
2025-09-09,IF,成交量排名,15,南华期货(代客),1916,-775
2025-09-09,IF,成交量排名,16,浙商期货(代客),1902,227
2025-09-09,IF,成交量排名,17,招商期货(代客),1679,8
2025-09-09,IF,成交量排名,18,永安期货(代客),1650,-274
2025-09-09,IF,成交量排名,19,申银万国(代客),1439,-479
2025-09-09,IF,成交量排名,2,国泰君安(代客),21367,-2592
2025-09-09,IF,成交量排名,20,五矿期货(代客),1428,33
2025-09-09,IF,成交量排名,3,海通期货(代客),10492,-2860
2025-09-09,IF,成交量排名,4,东证期货(代客),8534,-2257
2025-09-09,IF,成交量排名,5,国信期货(代客),6216,-910
2025-09-09,IF,成交量排名,6,银河期货(代客),4468,-1147
2025-09-09,IF,成交量排名,7,华闻期货(代客),3953,-1026
2025-09-09,IF,成交量排名,8,中泰期货(代客),3780,-397
2025-09-09,IF,成交量排名,9,中信建投(代客),3410,-662
2025-09-09,IF,成交量排名,合计,,110651,-19055
2025-09-09,IF,持买单量排名,1,中信期货(代客),2113,-1220
2025-09-09,IF,持买单量排名,10,国信期货(代客),157,-393
2025-09-09,IF,持买单量排名,11,五矿期货(代客),146,9
2025-09-09,IF,持买单量排名,12,中信建投(代客),142,15
2025-09-09,IF,持买单量排名,13,光大期货(代客),137,-27
2025-09-09,IF,持买单量排名,14,平安期货(代客),135,71
2025-09-09,IF,持买单量排名,15,中粮期货(代客),126,79
2025-09-09,IF,持买单量排名,16,宝城期货(代客),122,-14
2025-09-09,IF,持买单量排名,17,申银万国(代客),113,35
2025-09-09,IF,持买单量排名,18,方正中期(代客),112,-21
2025-09-09,IF,持买单量排名,19,中泰期货(代客),108,-6
2025-09-09,IF,持买单量排名,2,海通期货(代客),1525,-512
2025-09-09,IF,持买单量排名,20,国投期货(代客),93,-68
2025-09-09,IF,持买单量排名,3,国泰君安(代客),1434,-645
2025-09-09,IF,持买单量排名,4,东证期货(代客),1169,-672
2025-09-09,IF,持买单量排名,5,广发期货(代客),360,-171
2025-09-09,IF,持买单量排名,6,华泰期货(代客),323,137
2025-09-09,IF,持买单量排名,7,银河期货(代客),274,83
2025-09-09,IF,持买单量排名,8,招商期货(代客),218,57
2025-09-09,IF,持买单量排名,9,浙商期货(代客),159,106
2025-09-09,IF,持买单量排名,合计,,8966,-3157
2025-09-09,IF,持卖单量排名,1,中信期货(代客),10439,-2326
2025-09-09,IF,持卖单量排名,10,华泰期货(代客),1497,359
2025-09-09,IF,持卖单量排名,11,南华期货(代客),1400,-349
2025-09-09,IF,持卖单量排名,12,光大期货(代客),940,155
2025-09-09,IF,持卖单量排名,13,一德期货(代客),919,-368
2025-09-09,IF,持卖单量排名,14,五矿期货(代客),912,-70
2025-09-09,IF,持卖单量排名,15,瑞达期货(代客),880,145
2025-09-09,IF,持卖单量排名,16,宏源期货(代客),823,370
2025-09-09,IF,持卖单量排名,17,宝城期货(代客),804,-12
2025-09-09,IF,持卖单量排名,18,中信建投(代客),766,-39
2025-09-09,IF,持卖单量排名,19,浙商期货(代客),724,-379
2025-09-09,IF,持卖单量排名,2,国泰君安(代客),9194,-1360
2025-09-09,IF,持卖单量排名,20,东兴期货(代客),724,-73
